Index,Country,"Country
Code",Total,"Recorded
Consumption","Unrecorded
Consumption","Beer
Percent (%)","Wine
Percent (%)","Spirits
Percent (%)","Other
Percent (%)","GDP
(US$MM)","Purchase
Age","Death Rate
(per 100,000)"
0,Belarus,BLR,17.6,14.4,3.2,17.3,5.2,46.6,30.9," $54,436 ",18,8.18
1,Moldova,MDA,16.8,6.3,10.5,30.4,5.1,64.5,0.0," $7,945 ",18,7.02
2,Lithuania,LTU,15.5,12.9,2.5,46.5,7.8,34.1,11.6," $47,263 ",18,8.26
3,Russia,RUS,15.1,11.5,3.6,37.6,11.4,51.0,0.0," $1,527,469 ",18,14.87
4,Romania,ROU,14.4,10.4,4.0,50.0,28.9,21.1,0.0," $211,315 ",18,2.16
5,Ukraine,UKR,13.9,8.9,5.0,40.5,9.0,48.0,2.6," $109,321 ",18,6.00
6,Hungary,HUN,13.3,11.3,2.0,36.3,29.4,34.3,0.0," $152,284 ",18,3.08
7,Czech Republic,CZE,13.0,11.8,1.2,53.5,20.5,26.0,0.0," $213,189 ",18,2.27
8,Slovakia,SVK,13.0,11.4,1.7,30.1,18.3,46.2,5.5," $95,938 ",18,2.44
9,Portugal,PRT,12.9,11.0,1.9,30.8,55.5,10.9,2.8," $218,064 ",16,1.18
10,Serbia,SRB,12.6,9.6,2.9,51.5,23.9,24.6,0.0," $41,471 ",18,2.35
11,Grenada,GRD,12.5,11.9,0.7,29.3,4.3,66.2,0.2," $1,111 ",16,2.74
12,Poland,POL,12.5,10.9,1.6,55.1,9.3,35.5,0.0," $524,886 ",18,6.25
13,Latvia,LVA,12.3,10.5,1.8,46.9,10.7,37.0,5.4," $30,319 ",18,8.27
14,Finland,FIN,12.3,10.0,2.3,46.0,17.5,24.0,12.6," $253,244 ",18,7.47
15,South Korea,KOR,12.3,9.8,2.5,25.0,1.6,2.9,70.5," $1,538,030 ",19,1.17
16,France,FRA,12.2,11.8,0.4,18.8,56.4,23.1,1.7," $2,583,560 ",18,3.89
17,Australia,AUS,12.2,10.4,1.8,44.0,36.7,12.5,6.8," $1,379,548 ",18,1.20
18,Croatia,HRV,12.2,10.2,2.0,39.5,44.8,15.4,0.2," $54,516 ",18,3.27
19,Ireland,IRL,11.9,11.4,0.5,48.1,26.1,18.7,7.7," $333,994 ",18,1.43
20,Luxembourg,LUX,11.9,11.4,0.5,36.2,42.8,21.0,0.0," $62,393 ",16,2.69
21,Germany,DEU,11.8,11.3,0.5,53.6,27.8,18.6,0.0," $3,684,816 ",16,4.05
22,Slovenia,SVN,11.6,10.6,1.0,44.5,46.9,8.6,0.0," $48,868 ",18,3.17
23,United Kingdom,GBR,11.6,10.4,1.2,36.9,33.8,21.8,7.5," $2,624,529 ",18,1.46
24,Denmark,DNK,11.4,10.4,1.0,37.7,48.2,14.1,0.0," $324,484 ",18,7.51
25,Bulgaria,BGR,11.4,10.3,1.1,39.3,16.5,44.1,0.1," $56,943 ",18,0.84
26,Spain,ESP,11.2,10.0,1.2,49.7,20.1,28.2,1.8," $1,313,951 ",16,0.47
27,Belgium,BEL,11.0,10.5,0.5,49.2,36.3,14.4,0.1," $494,733 ",16,2.34
28,South Africa,ZAF,11.0,8.2,2.9,48.1,17.8,16.7,17.4," $349,299 ",18,1.39
29,New Zealand,NZL,10.9,9.3,1.6,38.2,33.9,15.2,12.5," $201,485 ",18,0.82
30,Gabon,GAB,10.9,8.9,2.0,68.3,11.9,19.8,0.1," $14,467 ",18,1.18
31,Namibia,NAM,10.8,6.8,4.0,96.7,0.3,0.9,2.1," $12,558 ",18,1.44
32,Switzerland,CHE,10.7,10.2,0.5,31.8,49.4,17.6,1.2," $678,575 ",16,1.74
33,Saint Lucia,LCA,10.4,10.1,0.2,29.7,12.6,56.1,1.5," $1,717 ",16,2.81
34,Austria,AUT,10.3,9.7,0.6,50.4,35.5,14.0,0.0," $416,845 ",16,3.05
35,Estonia,EST,10.3,9.5,0.8,41.2,11.1,36.8,10.9," $25,973 ",18,12.31
36,Greece,GRC,10.3,8.3,2.0,28.1,47.3,24.2,0.4," $200,690 ",18,0.22
37,Kazakhstan,KAZ,10.3,6.8,3.5,31.8,3.1,65.1,0.0," $160,839 ",18,2.68
38,Canada,CAN,10.2,8.2,2.0,51.2,22.0,26.8,0.0," $1,652,412 ",18,1.70
39,Nigeria,NGA,10.1,9.1,1.0,8.0,0.4,0.9,90.7," $376,284 ",18,2.29
40,Netherlands,NLD,9.9,9.4,0.5,46.8,36.4,16.9,0.0," $825,745 ",18,1.07
41,Uganda,UGA,9.8,8.3,1.5,9.4,0.1,1.9,88.6," $26,349 ",18,1.62
42,Rwanda,RWA,9.8,6.8,3.0,11.1,0.0,0.4,88.4," $8,918 ",18,2.11
43,Chile,CHL,9.6,7.6,2.0,29.9,40.7,29.4,0.0," $277,042 ",18,2.05
44,Argentina,ARG,9.3,8.3,1.0,40.7,48.0,5.5,5.8," $637,717 ",18,1.52
45,Burundi,BDI,9.3,6.3,3.0,24.5,0.0,0.1,75.4," $3,393 ",18,2.31
46,United States,USA,9.2,8.7,0.5,50.0,17.3,32.7,0.0," $19,390,600 ",21,2.26
47,Cyprus,CYP,9.2,8.2,1.0,40.9,24.7,33.7,0.7," $21,310 ",17,0.45
48,Sweden,SWE,9.2,7.2,2.0,37.0,46.6,15.1,1.4," $538,575 ",18,2.45
49,Venezuela,VEN,8.9,7.7,1.3,75.6,0.8,23.4,0.2," $210,085 ",18,0.33
50,Paraguay,PRY,8.8,7.3,1.5,51.1,18.2,28.8,2.0," $29,619 ",20,3.23
51,Brazil,BRA,8.7,7.2,1.5,59.6,4.0,36.3,0.1," $2,054,969 ",18,4.03
52,Sierra Leone,SLE,8.7,6.7,2.0,6.4,0.5,0.7,92.3," $3,897 ",0,3.45
53,Montenegro,MNE,8.7,4.9,3.9,10.9,47.0,41.7,0.4," $4,405 ",18,1.05
54,Belize,BLZ,8.5,6.8,1.7,67.6,2.0,30.3,0.1," $1,819 ",18,2.93
55,Cameroon,CMR,8.4,5.8,2.6,63.9,22.1,13.8,0.2," $34,006 ",0,2.64
56,Botswana,BWA,8.4,5.4,3.0,56.0,11.8,11.5,20.7," $16,725 ",18,1.47
57,Guyana,GUY,8.1,7.1,1.0,23.0,0.3,76.6,0.1," $3,591 ",18,3.05
58,Peru,PER,8.1,6.1,2.0,46.8,6.1,47.1,0.0," $215,224 ",18,1.41
59,Panama,PAN,8.0,7.2,0.8,69.2,4.6,26.0,0.2," $61,838 ",18,0.76
60,Norway,NOR,7.7,6.7,1.0,44.2,34.7,19.0,2.1," $396,457 ",18,3.36
61,Tanzania,TZA,7.7,5.7,2.0,11.0,0.2,1.8,87.0," $51,725 ",18,1.74
62,Georgia,GEO,7.7,5.4,2.3,17.0,49.8,33.2,0.1," $15,230 ",18,0.56
63,Uruguay,URY,7.6,6.6,1.0,30.6,59.9,9.5,0.0," $58,415 ",18,1.47
64,Angola,AGO,7.5,5.9,1.6,64.3,13.7,17.4,4.7," $124,209 ",18,2.58
65,Laos,LAO,7.3,6.2,1.1,35.6,0.0,64.4,0.0," $17,152 ",18,2.69
66,Japan,JPN,7.2,7.0,0.2,19.2,4.1,52.0,24.7," $4,872,135 ",20,0.25
67,Mexico,MEX,7.2,5.5,1.8,75.7,1.5,22.2,0.5," $1,149,236 ",18,3.04
68,Ecuador,ECU,7.2,4.2,3.0,67.3,1.2,31.5,0.0," $102,311 ",18,2.95
69,Iceland,ISL,7.1,6.6,0.5,61.8,21.2,16.5,0.5," $23,909 ",20,1.37
70,Thailand,THA,7.1,6.4,0.7,27.0,0.4,72.6,0.0," $455,378 ",20,2.83
71,Bosnia and Herzegovina,BIH,7.1,4.6,2.5,73.3,9.7,17.0,0.0," $17,457 ",18,2.37
72,Sao Tome and Principe,STP,7.1,4.2,2.9,23.5,60.2,16.3,0.0, $372 ,None,1.04
73,Malta,MLT,7.0,6.6,0.4,39.4,32.7,27.2,0.7," $12,011 ",17,0.36
74,Albania,ALB,7.0,4.9,2.1,31.8,19.8,48.4,0.0," $13,001 ",18,0.27
